address,label
0xC1d0b3DE6792Bf6b4b37EccdcC24e45978Cfd2Eb,Lido Locator (proxy)
0x3abc4764f0237923d52056cfba7e9aebf87113d3,Lido Locator (impl)
0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84,Lido and stETH token (proxy)
0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0,wstETH token
0x8F73e4C2A6D852bb4ab2A45E6a9CF5715b3228B7,EIP-712 helper for stETH
0xFdDf38947aFB03C621C71b06C9C70bce73f12999,Staking Router (proxy)
0x89eda99c0551d4320b56f82dde8df2f8d2ef81aa,Staking Router (impl)
0xffa96d84def2ea035c7ab153d8b991128e3d72fd,Deposit Security Module
0x388C818CA8B9251b393131C08a736A67ccB19297,Execution Layer Rewards Vault
0x889edC2eDab5f40e902b864aD4d7AdE8E412F9B1,Withdrawal Queue ERC721 (proxy)
0xb9d7934878b5fb9610b3fe8a5e441e8fad7e293f,Withdrawal Vault (proxy)
0xD15a672319Cf0352560eE76d9e89eAB0889046D3,Burner
0xF95f069F9AD107938F6ba802a3da87892298610E,MEV Boost Relay Allowed List
0x7e70De6D1877B3711b2bEDa7BA00013C7142d993,Min First Allocation Strategy (external lib)
0x852deD011285fe67063a08005c71a85690503Cee,Accounting Oracle (proxy)
0x0e65898527e77210fb0133d00dd4c0e86dc29bc7,Accounting Oracle (impl)
0xD624B08C83bAECF0807Dd2c6880C3154a5F0B288,HashConsensus
0x0De4Ea0184c2ad0BacA7183356Aea5B8d5Bf5c6e,ValidatorsExitBusOracle (proxy)
0x7FaDB6358950c5fAA66Cb5EB8eE5147De3df355a,HashConsensus
0x6232397ebac4f5772e53285b26c47914e9461e75,OracleReportSanityChecker
0xbf05A929c3D7885a6aeAd833a992dA6E5ac23b09,OracleDaemonConfig
0x442af784A788A5bd6F42A01Ebe9F287a871243fb,Legacy Oracle (proxy)
0xb8FFC3Cd6e7Cf5a098A1c92F48009765B24088Dc,Lido DAO (Kernel) (proxy)
0x5A98FcBEA516Cf06857215779Fd812CA3beF1B32,LDO token
0x2e59A20f205bB85a89C53f1936454680651E618e,Aragon Voting (proxy)
0xf73a1260d222f447210581DDf212D915c09a3249,Aragon Token Manager (proxy)
0xB9E5CBB9CA5b0d659238807E84D0176930753d86,Aragon Finance (proxy)
0x3e40D73EB977Dc6a537aF587D48316feE66E9C8c,Aragon Agent (proxy)
0x9895f0f17cc1d1891b6f18ee0b483b6f221b37bb,Aragon ACL (proxy)
0x0cb113890b04b49455dfe06554e2d784598a29c9,Aragon PM (proxy)
0x4ee3118e3858e8d7164a634825bfe0f73d99c792,Voting Repo (proxy)
0xF5Dc67E54FC96F993CD06073f71ca732C1E654B1,Lido App Repo (proxy)
0xF9339DE629973c60c4d2b76749c81E6F40960E3A,Lido Oracle (Legacy Oracle) Repo (proxy)
0x0D97E876ad14DB2b183CFeEB8aa1A5C788eB1831,Node Operators Registry Repo (proxy)
0x2325b0a607808dE42D918DB07F925FFcCfBb2968,Simple DVT Repo (proxy)
0x8B3f33234ABD88493c0Cd28De33D583B70beDe35,Insurance Fund
0xEe06EA501f7d9DC6F4200385A8D910182D155d3e,GateSeal Blueprint
0x6c82877cac5a7a739f16ca0a89c0a328b8764a24,GateSeal Factory
0x79243345eDbe01A7E42EDfF5900156700d22611c,GateSeal
0x37De961D6bb5865867aDd416be07189D2Dd960e6,DataBus on Gnosis Chain
0x37De961D6bb5865867aDd416be07189D2Dd960e6,DataBus on Base
0x37De961D6bb5865867aDd416be07189D2Dd960e6,DataBus on Optimism
0x37De961D6bb5865867aDd416be07189D2Dd960e6,DataBus on Polygon PoS
0x55032650b14df07b85bF18A3a3eC8E0Af2e028d5,Node Operators Registry (proxy)
0x1770044a38402e3cfca2fcfa0c84a093c9b42135,Node Operators Registry (impl)
0xaE7B191A31f627b4eB1d4DaC64eaB9976995b433,Node Operators Registry (proxy)
0x1770044a38402e3cfca2fcfa0c84a093c9b42135,Node Operators Registry (impl)
0xdA7dE2ECdDfccC6c3AF10108Db212ACBBf9EA83F,CSModule (proxy)
0x8daea53b17a629918cdfab785c5c74077c1d895b,CSModule (impl)
0x4d72BFF1BeaC69925F8Bd12526a39BAAb069e5Da,CSAccounting (proxy)
0x71FCD2a6F38B644641B0F46c345Ea03Daabf2758,CSAccounting (impl)
0xD99CC66fEC647E68294C6477B40fC7E0F6F618D0,CSFeeDistributor (proxy)
0x17Fc610ecbbAc3f99751b3B2aAc1bA2b22E444f0,CSFeeDistributor (impl)
0x3Dfc50f22aCA652a0a6F28a0F892ab62074b5583,CSVerifier
0x3D5148ad93e2ae5DedD1f7A8B3C19E7F67F90c0E,CSEarlyAdoption
0x5cFCa30450B1e5548F140C24A47E36c10CE306F0,CS GateSeal (proposed to remove)
0x16Dbd4B85a448bE564f1742d5c8cCdD2bB3185D0,CS GateSeal (proposed)
0x4D4074628678Bd302921c20573EEa1ed38DdF7FB,CSFeeOracle (proxy)
0x919ac5C6c62B6ef7B05cF05070080525a7B0381E,CSFeeOracle (impl)
0x71093efF8D8599b5fA340D665Ad60fA7C80688e4,HashConsensus
0xa74528edc289b1a597Faf83fCfF7eFf871Cc01D9,AssetRecovererLib
0xF8E5de8bAf8Ad7C93DCB61D13d00eb3D57131C72,NOAddresses
0xD19B40Cb5401f1413D014A56529f03b3452f70f9,QueueLib
0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,Curve stETH/ETH pool
0x828b154032950C8ff7CF8085D841723Db2696056,Curve concentrated stETH/wETH pool (Pool contract)
0xF668E6D326945d499e5B35E7CD2E82aCFbcFE6f0,Curve concentrated stETH/wETH pool (Gauge contract)
0x32296969Ef14EB0c6d29669C550D4a0449130230,Balancer wstETH/WETH pool
